case_no,processing_center,case_status,received_date,decision_date,employer_name,employer_address_1,employer_address_2,employer_city,employer_state,employer_postal_code,alien_citizenship_country,employer_job_title,wage_offered_from,wage_offered_to,wage_per,prevailing_wage_job_title,pw_amount,pw_level,pw_soc_code,pw_soc_title,application_type
A-05201-15423,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,ASHEL AVRAHAM,481 ROUTE 306,,WESLEY HILLS,NEW YORK,10952,TURKEY,COOK,$11.24,$11.24,Hour,COOK,11.24,Level II,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15428,Atlanta Processing Center,Certified,8/4/2005 0:00:00,9/26/2005 13:39:04,PYXIS MOBILE INC.,1601 TRAPELO ROAD,SUITE # 260,WALTHAM,MASSACHUSETTS,02451,INDIA,Wireless Software Engineer,$88000.00,,Year,"Software Engineer, Systems Software",87922,Level III,15-1032.00,"Computer Software Engineers, Systems Software",PERM
A-05201-15430,Atlanta Processing Center,Denied,7/18/2005 0:00:00,,"CLINIQUE MEDMANAGEMENT GROUP, LLC",750 S. FEDERAL HIGHWAY,,HOLLYWOOD,FLORIDA,33020,ARGENTINA,Executive Secretary,$18.50,,Hour,Executive Secretary,18.5,Level II,43-6011.00,Executive Secretaries and Administrative Assistant,PERM
A-05201-15433,Atlanta Processing Center,Denied,7/18/2005 0:00:00,,"SATEC USA, LLC",6 CHESTNUT STREET,,PORT MONMOUTH,NEW JERSEY,07758,SOUTH KOREA,Bookkeeper,$17.44,,Hour,"Bookkeeping, accounting and auditing clerks",17.44,Level IV,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",PERM
A-05201-15436,Atlanta Processing Center,Certified,7/25/2005 0:00:00,9/9/2005 15:34:38,"EVERGREEN INVESTMENT SERVICES, INC.",200 BERKELEY STREET,,BOSTON,MASSACHUSETTS,02116,CHINA,Senior Financial Engineer,$105000.00,,Year,Financial Analyst,53643,Level II,13-2051.00,Financial Analysts,PERM
A-05201-15437,Atlanta Processing Center,Denied,7/19/2005 0:00:00,,EPORT LLC,1719 CONNECTICUT AVENUE NW,,WASHINGTON,DISTRICT OF COLUMBIA,20009,BANGLADESH,Importer/Exporter,$12.00,,Hour,Inporter/exporter,24247,,41-9099.99,"Sales and Related Workers, All Other",PERM
A-05201-15444,Atlanta Processing Center,Denied,7/19/2005 0:00:00,,ELMWOOD  COUNTRY CLUB,850 DOBBS FERRY ROAD,,WHITE PLAINS,NEW YORK,10607,MEXICO,Maintenace Mechanic,$30000.00,,Year,Maintenance & Repair Workers,25563,Level II,49-9042.00,"Maintenance and Repair Workers, General",PERM
A-05201-15445,Atlanta Processing Center,Denied,7/19/2005 0:00:00,,SABA LIVE POULTRY (HALAL),1227 ROCKWAY AVENUE,,BROOKLYN,NEW YORK,11236,YEMEN,Butcher,$11.05,$16.05,Hour,Butcher,11.05,Level I,51-3021.00,Butchers and Meat Cutters,PERM
A-05201-15447,Atlanta Processing Center,Certified,8/19/2005 0:00:00,9/30/2005 10:04:03,GUTHRIE CLINIC,1 GUTHRIE SQUARE,,"SAYRE,",PENNSYLVANIA,18840,INDIA,Anesthesiologist,$275000.00,,Year,Anesthesiologist,171018,Level I,29-1061.00,Anesthesiologists,PERM
A-05201-15448,Atlanta Processing Center,Certified,8/3/2005 0:00:00,8/11/2005 15:31:08,E.I. DUPONT DE NEMOURS AND COMPANY,1007 MARKET STREET,,WILMINGTON,DELAWARE,19898,MEXICO,Project Leader,$92220.00,,Year,Software Engineer,83221,Level IV,15-1032.00,"Computer Software Engineers, Systems Software",PERM
A-05201-15453,Atlanta Processing Center,Denied,9/5/2005 0:00:00,,WEBILENT TECHNOLOGY INC.,"259 A MAIN ST, SUITE#5",,NASHUA,NEW HAMPSHIRE,03060,INDIA,Senior .Net Software Engineer,$42.71,,Hour,Computer Software Engineer-Applications,42.71,Level IV,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15454,Atlanta Processing Center,Certified,8/9/2005 0:00:00,9/29/2005 8:29:24,"WACHOVIA CAPITAL MARKETS, LLC",301 SOUTH COLLEGE STREET,,CHARLOTTE,NORTH CAROLINA,28288,INDIA,Structuring Associate,$93000.00,,Year,Financial Analyst,53643,Level II,13-2051.00,Financial Analysts,PERM
A-05201-15455,Atlanta Processing Center,Certified,8/16/2005 0:00:00,9/30/2005 8:55:11,"BUDGET CONSTRUCTION CO., INC",12450 N.W. SOUTH RIVER DRIVE,,MIAMI,FLORIDA,33178,VENEZUELA,Estimator,$43000.00,,Year,Estimator,42016,Level II,13-1051.00,Cost Estimators,PERM
A-05201-15460,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,TODO1 SERVICES INC.,7400 N.W. 19TH STREET SUITE C,,MIAMI,FLORIDA,33126,VENEZUELA,Financial Systems Analyst,$50461.00,$50461.00,Year,Computer Systems Analyst,50461,Level I,15-1051.00,Computer Systems Analysts,PERM
A-05201-15461,Atlanta Processing Center,Certified,7/26/2005 0:00:00,8/1/2005 14:08:11,THE PENNSYLVANIA STATE UNIVERSITY,120 S. BURROWES STREET,,UNIVERSITY PARK,PENNSYLVANIA,16802,AUSTRALIA,Assistant Professor,$53500.00,,Year,Assistant Professor,39413,Level I,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",PERM
A-05201-15464,Atlanta Processing Center,Certified,7/28/2005 0:00:00,8/1/2005 14:04:35,"VENTUREFORTH, INC.",1835 SAVOY DRIVE,SUITE 216,ATLANTA,GEORGIA,30341,MOROCCO,Computer Programmer,$58531.00,,Year,Computer Software Engineer,58531,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15466,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,ALMONDITO,290 MONTALK HIGHWAY,,EAST HAMPTON,NEW YORK,11937,ECUADOR,Restaurant cook,$10.62,,Hour,Restaurant Cook,10.62,Level II,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15468,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,"LEGENDARY MOTORCARS & COACHWORKS, INC.",130 NW CROWN POINT RD,,WINTER GARDEN,FLORIDA,34787,MEXICO,WELDER,$10.00,,Hour,WELDER,8.72,Level I,51-4122.04,Soldering and Brazing Machine Operators and Tender,PERM
A-05201-15473,Atlanta Processing Center,Certified,7/20/2005 0:00:00,9/16/2005 7:33:22,OFF THE GRILL II CORPORATION,950 NW 20TH STREET,,MIAMI,FLORIDA,33127,VENEZUELA,Cook,$9.00,,Hour,Cook,8.59,Level II,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15475,Atlanta Processing Center,Denied,7/22/2005 0:00:00,,KIRKLAND & ELLIS LLP,153 EAST 53RD STREET,,NEW YORK,NEW YORK,10022,RUSSIA,Senior Bankruptcy Associate,$170000.00,,Year,Lawyer,159037,Level IV,23-1011.00,Lawyers,PERM
A-05201-15478,Atlanta Processing Center,Certified,7/20/2005 0:00:00,7/27/2005 10:20:14,"TAKE SOLUTIONS, INC",600 COLLEGE ROAD EAST SUITE 3500,,PRINCETON,NEW JERSEY,08540,INDIA,DIR-PRODUCT STATEGY,$30.00,,Hour,COMPUTER SYSTEM ANALYST,29.73,Level II,15-1051.00,Computer Systems Analysts,PERM
A-05201-15479,Atlanta Processing Center,Certified,7/20/2005 0:00:00,9/20/2005 15:56:00,"U.S. GROUNDS, INC.",P.O. BOX 641113,,MIAMI,FLORIDA,33164,CANADA,Electrical Engineer Technician,$24378.00,$35000.00,Year,Electronics Engineer Technician,24378,Level I,17-3023.03,Electrical Engineering Technicians,PERM
A-05201-15482,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,"CORPORATEHORIZONS,INC.",1303 MINDY LANE,,PISCATAWAY,NEW JERSEY,08854,INDIA,Senior Software Engineer,$49.12,,Hour,Senior Software Engineer,49.12,Level IV,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15489,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,"COMPUTER AID, INC.",1390 RIDGEVIEW DRIVE,,ALLENTOWN,PENNSYLVANIA,18104,INDIA,Sr. Programmer/ Analyst,$78960.00,,Year,Sr. Programmer/Analyst,52520,Level II,15-1051.00,Computer Systems Analysts,PERM
A-05201-15493,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,GOURMAND LLLP,141 GIRALDA AVE,,CORAL GABLES,FLORIDA,33134,VENEZUELA,Cook,$550.00,,Week,"Cook, Restaurant",438.4,Level IV,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15501,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,"BEAV, INC./ BRIAN'S EATING AND DRINKING PLACE",91 PROVIDENCE ROAD,,LINWOOD,MASSACHUSETTS,01523,PERU,Cook,$9.53,,Hour,"Cooks, Restaurant",9.53,Level II,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15504,Atlanta Processing Center,Certified,7/20/2005 0:00:00,9/28/2005 15:56:17,PARADIGM TECHNOLOGIES INC,60 FOREST AVE,2ND FLOOR,PORTLAND,MAINE,04101,INDIA,Sr. Systems Analyst,$60000.00,,Year,Sr. Systems Analyst,59509,Level II,15-1032.00,"Computer Software Engineers, Systems Software",PERM
A-05201-15507,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,"BASSO CAPITAL MANAGEMENT, L.P.","1266 EAST MAIN STREET, 4TH FLOOR",,STAMFORD,CONNECTICUT,06902,UNITED KINGDOM,Junior Analyst,$100000.00,,Year,Junior Analyst,93226,,13-2051.00,Financial Analysts,PERM
A-05201-15508,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,SPINELLI'S PIZZA,425 7TH AVENUE,,NEW YORK,NEW YORK,10001,ECUADOR,RESTAURANT COOK,$13.76,,Hour,RESTAURANT COOK,13.76,Level III,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15509,Atlanta Processing Center,Denied,8/2/2005 0:00:00,,IL RADICCHIO,1801 CLARENDON BLVD,,ARLINGTON,VIRGINIA,22201,INDONESIA,Assistant Restaurant Manager,$16.61,,Hour,Asst. Restaurant Manager,16.61,Level II,11-9051.00,Food Service Managers,PERM
A-05201-15510,Atlanta Processing Center,Certified,7/20/2005 0:00:00,9/9/2005 15:35:10,THE OGILVY GROUP INC,309 WEST 49TH ST,,NEW YORK,NEW YORK,10019,POLAND,Management Supervisor,$95000.00,,Year,Management Supervisor,94411,Level II,11-2011.00,Advertising and Promotions Managers,PERM
A-05201-15511,Atlanta Processing Center,Certified,7/23/2005 0:00:00,7/25/2005 11:40:42,PREMIUM TECHNOLOGY INC.,"32 BROADWAY, SUITE #1201",,NEW YORK,NEW YORK,10004,CHINA,Software Engineer,$83533.00,,Year,"Computer Software Engineerings, Applications",83533,Level III,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15513,Atlanta Processing Center,Certified,7/20/2005 0:00:00,8/25/2005 16:50:40,P.H. CUSTOM WOODWORKING CORP.,5 MAGNOLIA DRIVE,,NEW HYDE PARK,NEW YORK,11040,POLAND,CABINETMAKER,$18.00,,Hour,CABINETMAKER,17.15,Level III,51-7011.00,Cabinetmakers and Bench Carpenters,PERM
A-05201-15514,Atlanta Processing Center,Certified,7/21/2005 0:00:00,7/27/2005 8:59:43,NEXTEL COMMUNICATIONS,2001 EDMUND HALLEY DRIVE,,RESTON,VIRGINIA,20191,INDIA,"Manager, Marketing Analysis",$96124.00,,Year,Marketing Manager,92227,Level III,11-2021.00,Marketing Managers,PERM
A-05201-15515,Atlanta Processing Center,Certified,9/14/2005 0:00:00,9/23/2005 9:23:19,"DEVRY UNIVERSITY, INC.",ONE TOWER LANE,,OAKBROOK TERRACE,ILLINOIS,60181,CANADA,Instructor of Business Information Systems,$62800.00,,Year,"Business Teachers, Postsecondary",2195.83,Level II,25-1011.00,"Business Teachers, Postsecondary",PERM
A-05201-15519,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,RADIO MEXICO,259 FRONT STREET,,NY,NEW YORK,10038,MEXICO,Restaurant cook,$13.76,,Hour,Cook Restaurant,13.76,Level III,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15520,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,VALLEY VIEW DINER & RESTAURANT,ROUTE 191 / 570 NAZARETH PIKE,,NAZARETH,PENNSYLVANIA,18064,POLAND,cook,$8.84,,Hour,COOK,8.84,Level II,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15521,Atlanta Processing Center,Certified,7/28/2005 0:00:00,9/9/2005 15:35:45,SLATER HOUSEHOLD,50 CRANBURY ROAD,,WESTPORT,CONNECTICUT,06880,ECUADOR,Nanny,$11.09,,Hour,Nanny,11.09,Level III,39-9011.01,Nannies,PERM
A-05201-15528,Atlanta Processing Center,Certified,7/28/2005 0:00:00,8/3/2005 10:13:41,"MEDICAL MANAGEMENT INTERNATIONAL, INC. (DBA BANFIE",11815 NE GLENN WIDING DRIVE,,PORTLAND,OREGON,97220,UNITED KINGDOM,Veterinarian,$78500.00,,Year,Veterinarians,63773,Level II,29-1131.00,Veterinarians,PERM
A-05201-15529,Atlanta Processing Center,Certified,7/20/2005 0:00:00,9/1/2005 17:18:30,"SANJAY K MADAN, M.D. P.A.",3190 N MCMULLEN BOOTH ROAD,SUITE 201,CLEARWATER,FLORIDA,33761,PAKISTAN,Physician Internal medicine,$6561.61,,Bi-Weekly,Physician Internal Medicine,4548.8,Level II,29-1062.00,Family and General Practitioners,PERM
A-05201-15530,Atlanta Processing Center,Denied,8/3/2005 0:00:00,,WILLY'S WORLD WELLNESS & CONFERENCE CENTER,4730 STATE HIGHWAY 6,,EASTHAM,MASSACHUSETTS,02642,SLOVAKIA,athletic fitness trainer,$27170.00,$27170.00,Year,Athletic fitness trainer,27170,Level I,29-9091.00,Athletic Trainers,PERM
A-05201-15533,Atlanta Processing Center,Denied,7/21/2005 0:00:00,,CHENOA INFORMATION SERVICES INC.,"10 PARSONAGE ROAD, SUITE # 312",,EDISON,NEW JERSEY,08837,INDIA,Business Analyst,$38.00,,Hour,Operation Research Analyst,37.82,Level III,15-2031.00,Operations Research Analysts,PERM
A-05201-15535,Atlanta Processing Center,Certified,7/20/2005 0:00:00,7/22/2005 8:38:34,P.H. CUSTOM WOODWORKING CORP.,5 MAGNOLIA DRIVE,,NEW HYDE PARK,NEW YORK,11040,UKRAINE,CABINETMAKER,$15.00,,Hour,CABINETMAKER,14.29,Level II,51-7011.00,Cabinetmakers and Bench Carpenters,PERM
A-05201-15536,Atlanta Processing Center,Certified,8/10/2005 0:00:00,8/24/2005 15:20:40,TARA ASIA,199-D EAST MONTGOMERY AVE.,,ROCKVILLE,MARYLAND,20850,THAILAND,Host/ Hostess,$9.75,,Hour,Host/Hostess,9.75,Level IV,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffe",PERM
A-05201-15546,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,"LEGENDARY MOTORCARS & COACHWORKS, INC.",130 NW CROWN POINT RD,,WINTER GARDEN,FLORIDA,34787,MEXICO,WELDER,$10.00,,Hour,WELDER,8.72,Level I,51-4122.04,Soldering and Brazing Machine Operators and Tender,PERM
A-05201-15547,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,CITY CHOW CAFE,897 BROADWAY,,NEW YORK,NEW YORK,100031205,ECUADOR,Cook,$11.24,,Hour,cook,11.24,Level II,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15549,Atlanta Processing Center,Certified,8/23/2005 0:00:00,9/30/2005 11:27:23,"SCHOOL-LINK TECHNOLOGIES, INC.",P O BOX 2410,,SANTA MONICA,CALIFORNIA,90407,INDIA,Software Engineer,$45822.00,,Year,Software Engineer,45822,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15551,Atlanta Processing Center,Certified,7/20/2005 0:00:00,8/18/2005 12:49:40,"NUMBERS ONLY, INC.","850 US HWY 1, 2ND FLOOR",,NORTH BRUNSWICK,NEW JERSEY,08902,INDIA,Software Engineer,$70512.00,,Year,Computer Software Engineer,70512,Level III,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15552,Atlanta Processing Center,Certified,7/21/2005 0:00:00,7/28/2005 12:02:50,WEBILENT TECHNOLOGY INC.,"259 A MAIN ST, SUITE#5",,NASHUA,NEW HAMPSHIRE,03060,INDIA,Senior Mainframe Software Engineer,$42.71,,Hour,Computer Software Engineer-Applications,42.71,Level IV,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15553,Atlanta Processing Center,Withdrawn,7/22/2005 0:00:00,,NYK LOGISTICS (AMERICAS) INC. INSD,300 LIGHTING WAY,,SECAUCUS,NEW JERSEY,07094,CHINA,Software Engineer,$99278.00,,Year,"Computer Software Engineers, Applications",47.73,Level III,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15554,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,LAND-CELLULAR CORPORATION,12054 MIRAMAR PARKWAY,,MIRAMAR,FLORIDA,33025,CANADA,Computer Electronic Technician,$19.63,,Hour,Computer Electronic Technician,19.63,Level II,17-3023.01,Electronics Engineering Technicians,PERM
A-05201-15559,Atlanta Processing Center,Certified,7/20/2005 0:00:00,9/28/2005 11:59:09,FLORIDA SUBS & GYROS,2017 GULF TO BAY BLVD.,,CLEARWATER,FLORIDA,33765,COLOMBIA,Mexican Specialty Cook,$9.26,$10.00,Hour,Mexican Specialty Cook,8.52,Level I,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15560,Atlanta Processing Center,Certified,7/20/2005 0:00:00,9/20/2005 16:07:20,MONTY LLC,13 MARSHALL STREET,,NORWALK,CONNECTICUT,06854,COLOMBIA,Bus Boy,$7.10,,Hour,Dining Room & Cafe Attendant & Bar Helper,7.1,Level I,35-9011.00,Dining Room and Cafeteria Attendants and Bartender,PERM
A-05201-15562,Atlanta Processing Center,Certified,7/20/2005 0:00:00,8/25/2005 16:52:17,U.S. TECH SOLUTIONS INC,1 EXCHANGE PLACE,SUITE # 701,JERSEY CITY,NEW JERSEY,07302,INDIA,Software Engineer,$85000.00,,Year,"Computer Software Engineer, Applications",39.48,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15566,Atlanta Processing Center,Certified,8/31/2005 0:00:00,9/26/2005 15:56:27,"BLUEGRASS REGIONAL PSYCHIATRIC SERVICES, INC",627 WEST FOURTH STREET,,LEXINGTON,KENTUCKY,40508,EGYPT,Psychiatrist,$85.65,,Hour,Psychiatrists,64.41,Level I,29-1066.00,Psychiatrists,PERM
A-05201-15567,Atlanta Processing Center,Certified,8/22/2005 0:00:00,9/30/2005 8:42:22,"GLOBAL LINK SOLUTIONS, INC.",46179 WESTLAKE DR.,SUITE 130,POTOMAC FALLS,VIRGINIA,20165,IRAN,Database Administrator,$41000.00,,Year,Database Administrator,40914,Level I,15-1061.00,Database Administrators,PERM
A-05201-15568,Atlanta Processing Center,Certified,7/21/2005 0:00:00,8/17/2005 12:51:31,WEBILENT TECHNOLOGY INC.,"259 A MAIN ST, SUITE#5",,NASHUA,NEW HAMPSHIRE,03060,INDIA,Senior Oracle Software Engineer,$42.71,,Hour,Computer Software Engineer-Applications,42.71,Level IV,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15569,Atlanta Processing Center,Certified,7/20/2005 0:00:00,9/28/2005 15:22:56,CIGNA,900 COTTAGE GROVE ROAD,,HARTFORD,CONNECTICUT,06152,GHANA,Actuary,$63000.00,,Year,Actuary,52811,Level I,15-2011.00,Actuaries,PERM
A-05201-15575,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,USED CARS INC.II,3523 REID STREET,,PALATAKA,FLORIDA,32177,PORTUGAL,MAINTENCE SUPERVISIOR,$10.00,$15.00,Hour,USED CARS SALES,9.8,Level II,41-4011.04,"Sales Representatives, Mechanical Equipment and Su",PERM
A-05201-15577,Atlanta Processing Center,Certified,7/27/2005 0:00:00,8/1/2005 14:03:47,BUSINESS INTEGRA INC.,7018 MATHEW STREET,,GREENBELT,MARYLAND,20770,INDIA,Software Engineer,$87942.00,,Year,Software Engineer,87942,Level III,15-1032.00,"Computer Software Engineers, Systems Software",PERM
A-05201-15578,Atlanta Processing Center,Withdrawn,8/25/2005 0:00:00,,NEW YORK CITY DEPARTMENT OF EDUCATION,65 COURT STREET ROOM 301,,BROOKLYN,NEW YORK,11201,JAMAICA,Science Teacher,$39000.00,$60729.00,Year,"Secondary School Teacher, Except Special and Vocat",39000,Level I,25-2031.00,"Secondary School Teachers, Except Special and Voca",PERM
A-05201-15579,Atlanta Processing Center,Withdrawn,7/26/2005 0:00:00,,LAND-CELLULAR CORPORATION,12054 MIRAMAR PARKWAY,,MIRAMAR,FLORIDA,33025,CANADA,Computer Electronic Technician,$19.63,,Hour,Computer Electronic Technician,19.63,Level II,17-3023.01,Electronics Engineering Technicians,PERM
A-05201-15584,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,INLINGUA LANGUAGE SCHOOL,1901 NORTH MOORE STREET,LL-01,ARLINGTON,VIRGINIA,22209,TURKEY,Marketing Manager,$52874.00,,Year,marketing manager,52874,Level II,11-2021.00,Marketing Managers,PERM
A-05201-15586,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,"WOVEN FLOORS RUGS, INC.",1 EAST MAIN STREET,,MENDHAM,NEW JERSEY,07945,IRAN,Oriental Rug Repairer,$17.00,,Hour,Oriental Rug Repairer,17,Level III,49-9042.00,"Maintenance and Repair Workers, General",PERM
A-05201-15588,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,NANA'S SCHOOLS INC.,1010 S FEDERAL HWY,,HALLANDALE,FLORIDA,33099,PERU,Preschool teacher,$8.90,,Hour,Preschool teacher,8.89,Level I,25-2011.00,"Preschool Teachers, Except Special Education",PERM
A-05201-15589,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,IVELISSE ANGOMAS,910 4 B SW 19 PL,,DAVIE,FLORIDA,33324,COLOMBIA,Housekeeper/Cook,$6.20,,Hour,Housekeeper/Cook,6.17,Level I,37-2012.00,Maids and Housekeeping Cleaners,PERM
A-05201-15593,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,CARRIE B. WIESENFELD,235 S. HIBISCUS,,MIAMI BEACH,GEORGIA,33139,ISRAEL,Kosher Specialty Cook,$8.59,,Hour,Kosher Specialty Cook,8.59,Level II,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15595,Atlanta Processing Center,Certified,7/21/2005 0:00:00,7/25/2005 9:41:06,WEBILENT TECHNOLOGY INC.,"259 A MAIN ST, SUITE#5",,NASHUA,NEW HAMPSHIRE,03060,INDIA,Senior Java Software Engineer,$42.71,,Hour,Computer Software Engineer-Applications,42.71,Level IV,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15599,Atlanta Processing Center,Certified,7/20/2005 0:00:00,9/9/2005 15:36:14,U.S. TECH SOLUTIONS INC,1 EXCHANGE PLACE,SUITE # 701,JERSEY CITY,NEW JERSEY,07302,INDIA,Information Technology Manager,$80000.00,,Year,Computer and Information Systems Managers,38.36,Level I,11-3021.00,Computer and Information Systems Managers,PERM
A-05201-15601,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,INLINGUA LANGUAGE SCHOOL,1901 NORTH MOORE STREET,LL-01,ARLINGTON,VIRGINIA,22209,COLOMBIA,Computer Lab Manager,$57990.00,,Year,Computer Lab Manager,57990,Level I,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15604,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,HOLIDAY INN EXPRESS,1100 EXPRESS LANE,,JESUP,GEORGIA,31546,INDIA,GENERAL MANAGER,$56000.00,,Year,GENERAL MANAGERS,55515,Level II,11-1021.00,General and Operations Managers,PERM
A-05201-15608,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,CHUCK WAGON RESTAURANT INC.,7628  SW 117 AV,,MIAMI,FLORIDA,33183,URUGUAY,Cook,$7.40,,Hour,Restaurant Cook,7.4,Level I,35-2014.00,"Cooks, Restaurant",PERM
A-05201-15609,Atlanta Processing Center,Certified,8/2/2005 0:00:00,9/19/2005 14:51:29,"SYN-TECH SYSTEMS, INC.",100 FOUR POINTS WAY,,TALLAHASSEE,FLORIDA,32305,PHILIPPINES,Computer Programmer II,$21.63,,Hour,Computer Programmer II,21.63,Level II,15-1021.00,Computer Programmers,PERM
A-05201-15610,Atlanta Processing Center,Certified,7/20/2005 0:00:00,8/11/2005 13:11:18,"BEA SYSTEMS, INC.",2315 NORTH FIRST STREET,,SAN JOSE,CALIFORNIA,95131,INDIA,Software Engineer (Developer Relations),$89000.00,,Year,"Software Engineer, Applications",86674,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15614,Atlanta Processing Center,Denied,7/18/2005 0:00:00,,LIMO AUTO REPAIR,21-10 38TH AVENUE,,LONG ISLAND CITY,NEW YORK,11101,PAKISTAN,Auto Mechanic,$35000.00,,Year,Auto Mechanic,33342,Level III,49-3023.01,Automotive Master Mechanics,PERM
A-05201-15618,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,INLINGUA LANGUAGE SCHOOL,1901 NORTH MOORE STREET,LL-01,ARLINGTON,VIRGINIA,22209,TURKEY,Computer Lab Manager,$57990.00,,Year,Computer Lab Manager,57990,Level I,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15619,Atlanta Processing Center,Certified,7/21/2005 0:00:00,9/9/2005 15:36:45,"CKI ENTERPRISE, INC. D/B/A WOOJUNG RESTAURANT",254 BROAD AVENUE,,PALISADES PARK,NEW JERSEY,07650,SOUTH KOREA,Sous Chef,$18.98,,Hour,Chef,18.98,Level II,35-1011.00,Chefs and Head Cooks,PERM
A-05201-15621,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,ACCOUNTING TAXES PLUS,7570 NW 14 ST #112,,MIAMI,FLORIDA,33126,COLOMBIA,Administrative Assistant,$11.61,$12.00,Hour,Administrative Assistant,11.61,Level I,43-6011.00,Executive Secretaries and Administrative Assistant,PERM
A-05201-15623,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,"SEVEN CLEANERS,INC",53 A CATOCTIN CIRCLE N.E.,,LEESBURG,VIRGINIA,20175,NORTH KOREA,Alteration Tailor,$8.16,,Hour,Alteration Tailor,8.16,Level II,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",PERM
A-05201-15627,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,MARCELO'S AUDIO & TINTING,10910 WEST FLAGLER ST SUIT 103,,MIAMI,FLORIDA,33174,COLOMBIA,Retail Salesperson,$7.00,,Hour,Retail Salesperson,6.7,Level I,41-2031.00,Retail Salespersons,PERM
A-05201-15628,Atlanta Processing Center,Certified,7/21/2005 0:00:00,9/9/2005 15:37:39,U.S. TECH SOLUTIONS INC,1 EXCHANGE PLACE,SUITE # 701,JERSEY CITY,NEW JERSEY,07302,CHINA,Software Engineer,$85000.00,,Year,"Computer Software Engineer, Applications",39.48,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05201-15635,Atlanta Processing Center,Denied,7/20/2005 0:00:00,,ALEXANDER  ZEMANEK,143 FORESTER PL,,PALM CAOST,FLORIDA,32137,SLOVAKIA,HOUSEHOLD HELP,$9.00,$20.00,Hour,PRIVATE HOUSEHOLD COOK,8.61,Level I,31-1011.00,Home Health Aides,PERM
A-05201-15639,Atlanta Processing Center,Certified,7/20/2005 0:00:00,8/11/2005 13:11:51,"PRINCETON INFORMATION, LTD.","8260 GREENSBORO DRIVE, SUITE 400",,MCLEAN,VIRGINIA,22102,INDIA,Software Engineer,$156000.00,,Year,"Computer Software Engineer, Applications",97198,Level IV,15-1031.00,"Computer Software Engineers, Applications",PERM
